词根词缀,含义,示例
nes,词根：岛屿,micronesia（n. 密克罗尼西亚（西太平洋岛群））
ness,n. 海角【后缀】加在形容词之后，构成抽象名词,greatness(n. 伟大；巨大)
net,"/ net/n.网  vt. 用网捕。词根：连接,绑,系,缝",network(n. 网络；广播网；网状物)
neur,词根：表示“神经”,neuritis(n.神经炎)
neuro,【词根】神经,neurology(n. 神经病学；神经学)
neut,词根：中间，医药,neutral（adj. 中立的，中性的；中立国的）
neutr,【词根】两者都不；中,neutron(n.中子)
nex,【词根】绑；连接,nexus(n. 关系；连结，连系)
nic,词根：毒,pernicious（adj. 有害的；恶性的；致命的；险恶的）
nigr,词根：黑,negroid(n.  黑人)
nigri,词根：黑,nigritude(n. 黑；漆黑；邪恶)
nihil,n.虚无，毫无价值之物【词根】什么也没有,nihilist(n. 虚无主义者)
nin,词根：九,nine(n. 九，九个)
nitr,词根：硝基； 氮,nitrous（adj. 氮的；硝石的；含氮的）
nitro,【词根】硝石,nitrogen(n.氮)
niv,词根：雪,nival（adj. 多雪的，雪的；生长在雪中的）
noc,【词根】夜;伤害，毒,nocuous(adj. 有害的；有毒的)
noct,【词根】夜晚,nocturnal(adj. 夜的；夜曲的；夜间发生的)
nois,词根：名字，说话；知道,connoisseur(n. 鉴赏家；内行)
nom,【词根】法则；标准；部分；名字,nominate(vt.提名，推荐；任命)
nomen,n.  第二名; 族名【词根】名字,nomenclature（n. 命名法；术语）
nomi,词根：名字,denomination（n. 面额；名称；教派）
nomin,【词根】名字,nominate(vt.提名，推荐；任命)
nomy,后缀：名词后缀，表示“学”,bionomy（n. 生态学；生理学；生命学）
non,【前缀】非；不；无,nonsense(n.胡说，废话)
nona,【医】 南欧嗜眠性脑炎【前缀】九,nonagon(n. [数] 九边形)
nonadeca,【前缀】十九,nonadecane（n. 十九烷）
norm,/ nR:m/n.标准，准则【词根】规则；标准,normally(adv. 正常地；通常地，一般地)
nos,词根：鼻子,nostril(n. 鼻孔)
nost,词根：表示”家”,nostalgia(n.乡愁; 怀旧之情)
not,/ nRt/adv.不；不是的【词根】标示；记号；知道,notice(n. 通知，布告；注意；公告)
nounc,词根：报告；讲话，说出,announce(vt. 宣布；述说（an+nounce→一再讲→宣布）)
nounce,词根：报告；讲话，说出,announce(vt. 宣布；述说（an+nounce→一再讲→宣布）)
nour,词根：滋养，养,nourish（vt. 滋养；怀有；使健壮）
nov,【词根】新的,novelty(n.新颖；新奇的事物)
novem,【前缀】九,November（n. 十一月（古罗马时为九月））
now,/ nau/adv.现在;【词根】新,nowadays(adv. 现今；时下)
nown,词根：名字，说话；名声,renown(n. 声誉；名望)
nox,【词根】伤害；夜晚,noxious(adj. 有害的；有毒的；败坏道德的；讨厌的)
nu,/ nju:/ n. 希腊字母第13字【词根】nod（点头）,innuendo（n. 暗讽，讽刺；影射）
nuc,"词根：坚果,核",nucleus(n. 核，核心；原子核)
nucle,词根：核,nucleus(n. 核，核心；原子核)
nud,词根：裸露,nude（adj. 裸的，裸体的；无装饰的）
nugator,词根：trifle（烦事）,nugatory（adj. 无价值的；琐碎的；无效的；无法律效力的）
nul,【词根】什么也没有,nullify(vt. 使无效，作废；取消)
null,"adj.无效力的, 无效的, 无价值的【词根】什么也没有",nullify(vt. 使无效，作废；取消)
num,词根：分配，数，抓取,number(n. 数；（杂志等的）期；号码)
numer,【词根】数字；计算,numerous(adj. 许多的，很多的)
numisma,词根：钱币,numismatics（n. 古币；钱币学；奖章类的研究）
nunc,词根：讲话，说出,announce（vt. 宣布；述说；预示；播报）
nunci,【词根】报告；说,annunciate(vt. 告示；通告)
nuncil,词根：speak说,pronunciation(n. 发音；读法)
nupt,词根：婚姻,nuptial（adj. 婚礼的；结婚的；婚姻的）
nupti,词根：wedding（婚礼）,prenuptial（adj. 婚礼前的；结婚前的；交配前的）
nur,词根：滋养，养,nurse(n. 护士；奶妈，保姆)
nurs,词根：滋养，营养,nursery（n. 苗圃；托儿所；温床）
nurt,词根：滋养，营养,nurture(vt. 养育；鼓励；培植)
nutr,【词根】营养,nutrition(n. 营养，营养学；营养品)
nutri,【词根】营养,nutrition(n. 营养，营养学；营养品)
nutrit,【词根】营养,"nutrition(n.营养, 营养学)"
nym,词根：名,synonym（n. 同义词；同义字）
o,【前缀】对； 向； 相反； 反对,"oval(a.卵形的 			)"
ob,【前缀】对； 向； 相反； 反对,obvious(a.明显的，显而易见的)
obed,词根：obey（服从）,obedient（adj. 顺从的，服从的；孝顺的）
obes,词根：fat（肥）,obese（adj. 肥胖的，过胖的）
obliv,词根：forget（忘记）,oblivion（n. 遗忘；湮没；赦免）
obsol,词根：decay（腐烂）,obsolete（adj. 废弃的；老式的）
oc,【前缀】对； 向； 相反； 反对,occurrence(n.事故)
ock,【后缀】表小称或“缩小”,hillock（n. 小丘；小山似的一堆)
oct,【前缀】八,octagon(n. 八边形，八角形)
octa,【前缀】八,octagon(n. 八边形，八角形)
octav,【前缀】八,octavo（n. 八开本；八开纸）
octo,【前缀】八分,"octopus(n. 章鱼,八爪鱼)"
ocul,【词根】眼睛,ocular(adj. 眼睛的；视觉的；目击的)
oculo,词根：eye眼,oculomotor(adj. [解剖] 动眼神经的；眼球运动的)
od,n.自然力【词根】歌曲;路,melody(n. 旋律；歌曲；美妙的音乐)
ode,"/ EJd/n.颂诗,赋【词根】歌曲；诗歌",episode(n. 插曲；一段情节；插话)
odi,词根：hate（恨）,odium（n. 憎恶；讨厌）
odont,词根：牙,odontic(adj. 牙的)
odor,/ 5EudE/  n.气味【词根】气味；闻,odor(n.气味，香气；味道)
odyn,词根：pain（痛）,anodyne（ n. [药] 止痛剂；起安慰作用的事物（an没有+odyne痛））
of,"/ Rv, Ev/  prep…….的【前缀】向",offspring(n.儿女，子孙，后代)
oid,【后缀】表示“像…的”，“似…的”,negroid(nadj. 黑人的；黑人似的；黑人特性的)
oidal,后缀：形容词后缀，表示“…形状的”,asteroidal（adj. 星状的）
oint,词根：油,ointment（n. 药膏；[药] 油膏）
ol,【词根】滋养；气味，闻,petrol(n.(英)汽油)
ole,词根：oil（油）,petroleum （n. 石油）
olesc,"词根：形成becoming,growing",adolescence(n. 青春期)
oleum,/ 'EuliEm/ n. 发烟硫酸【词根】油,petroleum(n.石油)
olfact,词根：scent（味）,olfaction（n. 嗅觉）
olig,词根：少,oligemia(n. [内科] 血量减少)
oligo,词根：很少,oligotrophic(adj. （湖泊、池塘等）贫营养的，营养不足的)
oll,词根：neck（脖子）,collar(n. 衣领；颈圈)
ology,词根：学科,zoology(n. 动物学；动物区系)
oma,后缀:表示“瘤”,fibroma(n. [肿瘤] 纤维瘤)
ombro,【前缀】雨,ombrograph（n. 雨量计；雨量记录仪）
omin,【词根】预兆,ominous(adj. 预兆的；不吉利的)
omni,【前缀】全部,omnipotent(adj. 无所不能的；全能的（omni全部+potent有力的）)
omphal,词根：脐,omphalitis(n. [兽医] 脐炎（常为幼小动物所患）)
on,/ Rn/  在…上面【后缀】表示人、物；构成物理学名词,southron(n. 英格兰人；南部人)
one,n.  一; 一个人【后缀】表示“酮”,butanone(n. [有化] 丁酮)
oneir,词根：dream梦,oneiric(adj. 梦的)
oner,词根：负担,onerous(adj. 繁重的；麻烦的()oner负担+ous形容词字尾)
onom,词根：名字,onomastic(adj. 亲自签名的；名字的)
onto,/ 5Rntu/prep.在…上面；到…上面【词根】个体,ontogenesis(n. 个体发育；个体发生)
onym,【医】 术语【词根】名字,synonym（n. 同义词；同义字）
oo,【词根】蛋；卵,oolite(n. 鲕粒岩；鱼卵石)
oon,后缀：表名词，“人或物”,buffoon(n.  小丑)
op,n.工作，操作【前缀】向;相对,oppress(vt.压迫，压制；压抑)
oper,【词根】工作；做,operator(n.操作人员，接线员)
ophi,词根：snake蛇,ophidian(adj. 蛇类的；蛇样的)
ophio,词根：蛇,ophiology(n.蛇学)
ophthalm,前缀：眼  ,ophthalmia(n. [眼科] 眼炎)
opi,词根：视，光；观点,opinion(n. 意见；主张)
opin,【词根】看,opinion（n. 意见；主张)
opl,词根：armor（盔甲）,panoply（n. 华丽服饰；全套甲胄，全副盔甲）
ops,"词根：sight,light视,光",achromatopsia（n. [眼科] 全色盲）
opt,/ Rpt/  v.选择【词根】选择；希望；眼睛；视力,optional(a.可以任意选择的)
optim,词根：表示“最好”,optimum(adj.  最适宜的)
opto,【词根】眼睛；视力,optometer(n. 视力检定装置；视力计（opto+meter测量[计]）)
or,"/ R:, E/  conj.或者，还是【后缀】表示抽象名词",collector(n. 收藏家；集电极；收税员)
ora,"【医】 缘, 口【词根】说；祷告",oratory(n.  讲演术;小礼拜堂; 祈祷室)
oram,词根：景,myriorama(n.万景画)
orama,词根：视力,panorama（n. 全景，全貌；全景画（pan+orama视力→视力所及→全景））
orat,"词根：表示“嘴，说”""",oratory(n.  讲演术;小礼拜堂; 祈祷室)
orb,"/ R:b/ n. 球, 天体【词根】圆circle,track",orbital(adj. 轨道的；眼窝的)
orbit,"n.  轨道, 眼眶【词根】圆 ",orbital(adj. 轨道的；眼窝的)
ord,"【词根】秩序,拼凑，适合，连接，接合",order(n.次序；整齐)
order,/ 5R:dE/  点菜【词根】秩序,order(n.次序；整齐)
ordin,【词根】秩序,subordinate(a.下级的，辅助的)
org,"词根：做，工作，功,工具",organ(n. 器官；机构；风琴；管风琴)
organ,n. 器官；机构；风琴【词根】身体,organize(vt. 组织；使有系统化；给予生机)
ori,【词根】太阳升起；上升；开始；起源,"originate(vi.发源 			)"
orig,"词根：表示“升起，开始”""",origin(n.  起源; 起因; 由来; 出身)
orium,后缀：名词后缀，表示“地方、器具、工具、手段”,emporium（n. 商场，大百货商店；商业中心)
orn,【词根】装饰；使配备家具,"ornament(n.装饰物 			)"
orna,【词根】装饰；使配备家具,ornament(n.装饰物；装饰)
ornith,词根：bird（鸟）,ornithology（n. 鸟类学；鸟学论文）
ornitho,词根：鸟,ornithology(n. 鸟类学；鸟学论文)
oro,词根：口,orolingual(口舌的)
orot,词根：洪亮的，圆润的,orotund（adj. 夸大的；做作的；朗朗的）
orph,词根：出去,orphan(n.孤儿(orph=出去+an 离开家庭的))
ort,【词根】升起,"abortion(n.  小产, 流产)"
orth,词根：直,orthodoxy（n. 正统；正教；正统说法）
ortho,【词根】直的；正确的；正,orthodox(adj. 正统的；传统的；惯常的（ortho正+dox→正的观点→正统思想）
ory,【后缀】表性质、大小状况、状貌,victory(n.胜利，战胜)
os,"/ Rs/ n. 骨, 孔, 穴裂口【词根】口, 嘴",oscular（adj. 出水孔的；接吻的；嘴巴的）
oscill,词根：swing摆动,oscillate(v.  摆动; 振荡; 游移不定)
oscul,词根：kiss（吻）,osculate（vt. 接吻；接触；与……有共同特性）
ose,后缀：表形容词，“多…的”,"verbose(adj.  详细的, 冗长的)"
osis,【后缀】构成名词,hypnosis(n. 催眠；催眠状态（hypno+sis表示病状）)
osity,后缀：表名词，ose+ity组成，表示“多…的状态”,curiosity(n.好奇，好奇心；珍品)
oss,【词根】骨头,fossil(n. 化石；僵化的事物；顽固不化的人)
ost,词根：骨,osteopath(n. 整骨疗法家)
oste,前缀：骨  ,osteitis(n. [外科] 骨炎)
ostens,词根：appear（出现）,ostensible（adj. 表面的；假装的）
osteo,【词根】骨头,osteoblast(n.造骨细胞)
ostrac,词根：tile（瓦片）,ostracize （vt. 放逐；排斥；按贝壳流放法放逐）
ot,词根：表示“耳朵”,otitis(n.耳炎（ot+it is炎病）)
otic,后缀：形容词后缀，表示“状态的、作用的、过程的”等,hypnotic（adj. 催眠的，催眠术的；易于催眠的）
ound,词根:wave(波浪),abound(vi. 富于；充满)
our,/ 5auE/  我们的【后缀】表示抽象名词,vigour(n.活力，精力；元气)
ous,【后缀】表性质、大小状况、状貌,continuous(a.连续不断的，持续的)
ously,后缀:副词，具有…性质的等,meticulously（adv. 细致地；一丝不苟地；拘泥地)
out,"/ aut/prep. 向；离去 【前缀】超过；外,向外",outwards(ad.向外，往海外)
ov,【词根】蛋；卵,"oval(a.卵形的 			)"
ovari,词根：卵巢,ovaritis(n.  卵巢炎)
over,/ 5EuvE/adv. 结束；越过【前缀】过度；在……上面,overwhelming(a.压倒的，势不可挡的)
ovo,"【医】 卵, 蛋【词根】卵,蛋",ovoid(adj.  卵形的)
own,/ Eun/  自己的;词根：拥有,owner(n. 所有者；物主)
ox,【词根】氧,"dioxide(n.     	二氧化物)"
oxy,【词根】氧,oxygen(n. 氧气，氧)
pac,【词根】和平,pacific(a.和平的)
pachy,词根：thick（厚）,pachyderm（n. 迟钝的人；厚脸皮的人）
paci,【词根】和平，平静,pacific(a.和平的)
pact,/ pAkt/n.协定，条约【词根】同意；系紧,impact(n.影响，作用；冲击)
pad,"/ pAd/n.垫子,便笺薄【词根】踏，走，去",escapade(n. 越轨行为；恶作剧)
paed,词根：child儿童,paediatric(adj.  儿科的; 儿科医学的)
pag,词根：固定,propaganda(n. 宣传；传道总会)
paht,【词根】疾病，疗法,pathology(n. 病理学（复数pathologies）)
pair,"【词根】产生，获得，准备,装配",repair(vi. 修理；修复)
pal,/ pAl/  n.(口)好朋友；同志。【词根】紧，固，约定,pale(n. 前哨；栅栏；范围)
pale,"/ peil/adj. 苍白的；无力的；暗淡的【词根】旧,古",paleolithic(adj.  旧石器时代的)
paleo,"词根：表示:”古,旧”",paleontology(n.古生物学)
pali,词根：再次,palinode（n. 翻案诗）
pall,"/ pR:l/ n. 棺罩,vi.  乏味【词根】苍白pale",pallid(adj. 苍白的；暗淡的；无生气的)
palp,"/ pAlp/ n. 触须, 须肢【词根】接触touch",palpable(adj. 明显的；可感知的；易觉察的)
pan,/ pAn/n.平底锅【词根】面包【前缀】全；所有的,panacea(n. 灵丹妙药；万能药)
pand,"【词根】展开, 伸展,膨胀",expand(vt.扩大；使膨胀)
pans,"【词根】展开, 伸展",expansion(n.扩大，扩充；扩张)
panto,"n. 哑剧, 童话剧, 舞剧【前缀】全,每,所有的",pantograph(n. 放大尺；缩放仪；缩图仪)
pap,"/ pAp/ n. 奶头, 乳头状物, 软食【词根】爸爸",papal（adj. 教宗的；罗马教皇的；教皇制度的）
par,n. 标准【词根】准备；相等的；出现；生【前缀】完全,parent(n. 父亲（或母亲）；父母亲；根源)
para,n.  伞兵【前缀】表示“半，类似，辅助”等,paradox(n. 悖论，反论；似非而是的论点)
pare,"v.  剥, 修【词根】安排, 装配, 二",compare(vt. 比较；对照；比喻为)
parl,【词根】说，谈,parliament(n. 议会，国会)
part,"/ pa:t/n.部分, 局部, 零件, 角色【词根】部分；分开",apartment(n.一套公寓房间)
parti,n.  理想配偶【词根】部分；分开,participate(vi.参与，参加；分享)
